Count_of_sizes,Name_ of_colors,Product_code
1.0,Rose Dust-Wood Violet-PUMA White,376542_12
1.0,Heartfelt,379023_06
2.0,Quarry-Puma Silver,364886_01
1.0,Puma Black-Puma Black,364886_02
1.0,Loveable-Rose Gold,378296_02
5.0,Yellow Blaze-PUMA White-PUMA Black,107507_04
5.0,Persian Blue-Pro Green-Ultra Blue,107565_02
5.0,Alpine Snow-Asphalt-Yellow Blaze,107565_03
5.0,Sedate Gray-Asphalt-Yellow Blaze,107356_04
4.0,Ultra Blue-PUMA White-Pro Green,107523_03
6.0,PUMA Black-PUMA White-PUMA Silver,377540_01
4.0,Peacoat-Carnation Pink-PUMA Black,393551_01
2.0,Glacial Blue-Peony-Quarry-Puma White,385106_03
1.0,Eggshell Blue-Puma White,385106_02
6.0,Koral Ice-Speed Green,378482_02
6.0,Elektro Purple-Fizzy Lime-PUMA Silver,376171_14
6.0,PUMA Black-Ravish-Fresh Pear,376171_13
6.0,PUMA Black-Purple Pop-Yellow Burst,378473_01
5.0,Persian Blue-PUMA White-Pro Green,107356_03
5.0,Ultra Blue-PUMA White-Pro Green,107507_03
3.0,Persian Blue-PUMA White-Pro Green,107371_03
6.0,PUMA Black-PUMA Gold-Matte Gold,378852_01
5.0,PUMA White-Speed Green,378688_02
5.0,Warm White-PUMA Black-PUMA Gold-Matte Puma Gold,378852_02
6.0,Alpine Snow-PUMA Black,378792_02
6.0,PUMA Black-Metallic Gold,378792_01
6.0,PUMA Black-Frosty Pink-Speed Green-PUMA White,379657_06
4.0,PUMA Black-PUMA Gold,378786_01
6.0,Frosty Pink-Rose Gold,379070_02
6.0,PUMA Black-Puma Team Gold,379070_01
6.0,PUMA Black-Purple Pop-Yellow Burst,379135_02
5.0,Warm White-Puma Aged Silver-Dark Coal-PUMA Black,378786_02
4.0,PUMA Black-Koral Ice-PUMA White,378846_04
1.0,PUMA Black-Warm White-PUMA Silver,377311_03
6.0,Warm White-Toasted Almond-PUMA Gold,378804_02
6.0,PUMA Black-PUMA Gold-Warm White,378804_01
6.0,PUMA Black-Strawberry Burst-Yellow Blaze,378684_01
6.0,PUMA Black-PUMA White,378688_01
6.0,PUMA Black-PUMA Gold,378848_01
6.0,PUMA Black-Koral Ice,377045_10
3.0,PUMA Black-PUMA White,378712_01
4.0,Future Pink-Frosty Pink,377045_11
3.0,Dark Clove-PUMA White,378712_02
2.0,PUMA White-PUMA Gold-PUMA Black,378848_02
1.0,Warm White-Rose Gold-Platinum Gray,377311_09
,"Icy Blue-PUMA Black-PUMA White
: Sold Out",377672_09
6.0,Dark Jasper-PUMA Black-Fire Orchid,377855_08
6.0,Ghost Pepper-PUMA Black-Pink Glimmer,379115_01
5.0,Yellow Burst-Racing Blue-Pink Glimmer,379040_01
6.0,PUMA Black-PUMA White,378793_01
4.0,PUMA White-PUMA Black,378814_02
4.0,PUMA Black-PUMA White-PUMA Silver,378814_01
6.0,PUMA Black-Fire Orchid,377063_04
6.0,Warm White-Bright Melon,379114_01
6.0,Foxglove-PUMA White,379994_02
6.0,PUMA Black-Asphalt-PUMA White,379994_01
6.0,Puma Black-Peach Parfait-Puma White,387392_01
6.0,Foxglove-PUMA White,390143_02
6.0,Puma Black-Gold,193257_01
5.0,Placid Blue-Dark Denim,381168_06
4.0,Dark Shadow-Peach Parfait,381168_05
2.0,Quarry-Peony,387392_02
4.0,Dark Denim,381385_02
6.0,Puma White-Rose Gold,193257_03
6.0,Puma Black-Metallic Silver,376194_01
6.0,Future Pink-Frosty Pink-PUMA Black,378823_02
6.0,Icy Blue-PUMA Silver,378710_02
6.0,Cool Dark Gray-Vivid Violet,378773_01
6.0,PUMA Black-Ravish,376906_07
6.0,Ravish-PUMA Black-Fresh Pear,376906_09
6.0,PUMA Black-PUMA Gold,377904_01
6.0,PUMA White-Fire Orchid-PUMA Black,376169_10
6.0,PUMA Black-PUMA White-Dark Coal,378823_01
6.0,Royal Sapphire-Elektro Purple,376855_10
6.0,PUMA Black-PUMA White,377758_01
6.0,PUMA White-PUMA Black-Fire Orchid,107356_01
5.0,Ravish-Fresh Pear-PUMA Silver,377316_04
4.0,PUMA Black-Icy Blue-Speed Green,376169_12
6.0,Puma Black-Puma White-Metallic Silver,376969_01
5.0,Loveable-Rose Gold,377674_02
5.0,PUMA Black-Cool Dark Gray,378854_01
6.0,PUMA Black-PUMA Silver,377316_01
5.0,Elektro Purple-Fizzy Lime,377758_02
2.0,Lotus-Dark Shadow,381168_04
6.0,Frosty Pink-PUMA Silver,378710_03
6.0,Peach Smoothie-Frosty Pink-PUMA Black,378456_07
6.0,Puma Black-CASTLEROCK-Puma White,376908_01
6.0,PUMA Black-Peach Smoothie-Speed Green,378456_03
6.0,Koral Ice-Cool Mid Gray-PUMA Black,378551_04
6.0,Koral Ice-Warm White,379085_03
6.0,Frosty Pink-Speed Green,376262_20
6.0,PUMA Black-Fire Orchid,376855_17
6.0,Koral Ice-Speed Green,376855_20
6.0,Fire Orchid-PUMA Black-Icy Blue,376855_22
6.0,PUMA Black-Koral Ice-PUMA Silver,377758_08
6.0,Fire Orchid-PUMA Black-PUMA Silver,377758_09
6.0,Cool Dark Gray-Koral Ice,377746_03
6.0,Neon Sun-Alpine Snow-PUMA Black,307685_04
4.0,Marine Blue-Puma White-Puma Team Gold,376977_01
5.0,Dark Jasper-PUMA Black-Fire Orchid,377861_03
6.0,PUMA White-PUMA Black-Fire Orchid,107507_01
6.0,Warm White-Ash Gray-Icy Blue,377892_09
4.0,Puma Black-Puma Team Gold,195186_01
4.0,Puma Black-Rose Gold,376262_09
6.0,PUMA Black-Koral Ice-Speed Green,378906_01
6.0,Dark Clove-PUMA Black-Rose Gold,377892_10
3.0,PUMA Black-PUMA Gold-Warm White,377903_01
3.0,Marble-Feather Gray,377903_04
4.0,Orchid Shadow-PUMA Black-PUMA Silver,376969_09
3.0,Puma Black-Puma Team Gold,195328_07
3.0,Puma Black-Deep Orchid,376211_03
3.0,Sunset Glow-Puma Black,376906_03
4.0,Future Pink-Frosty Pink,195235_21
3.0,Platinum Gray-Light Lime,376194_04
3.0,Rose Quartz-Pale Grape-Puma White,376965_03
6.0,PUMA Black-PUMA White,379082_05
3.0,Loveable-Rose Gold,377944_03
3.0,PUMA Black-Elektro Purple,377891_02
4.0,Fire Orchid-Ultra Blue-PUMA White,376592_05
2.0,Dusty Orchid-Rose Gold,376038_14
3.0,Warm White-PUMA Gold,377892_02
2.0,Puma Black-Metallic Silver,377375_01
2.0,Rose Dust-Rose Gold-PUMA White,377903_02
3.0,Warm White-Alpine Snow-Dark Clove,378854_02
1.0,Puma Black-Paradise Pink,380485_07
2.0,Sunset Glow-Puma Black,377558_22
2.0,Sunset Glow-Puma Black,376262_07
2.0,PUMA Black-Bold Blue-Speed Green,377891_11
2.0,Sunset Glow-Puma Black,376855_04
2.0,Puma White-Puma Black-Deep Orchid-Neon Citrus,376169_02
2.0,Rose Dust-Warm White-Hibiscus Flower,376169_06
2.0,Fizzy Light-Parisian Night-Blue Glimmer,106898_01
2.0,Puma Black-Carnation Pink-Asphalt,377091_01
2.0,Aubergine-Puma Team Gold,377040_02
2.0,Warm White-Green Fog,378773_02
2.0,Sun Stream-Sunset Glow,377603_01
2.0,PUMA White-PUMA Black-Fire Orchid,107523_01
1.0,Rose Dust-PUMA White,377874_05
1.0,Purple Charcoal-PUMA Black-Spring Lavender,376169_09
2.0,Sunset Glow-Puma Black-Metallic Silver,376171_07
2.0,Fizzy Apple-Metallic Silver,376855_06
1.0,Spring Lavender-PUMA Silver,377978_03
1.0,PUMA Black-PUMA Black-PUMA White,377944_01
,"Aubergine-Puma Team Gold
: Sold Out",377058_02
1.0,Puma Black-Desert Tan,377080_01
1.0,Sun Stream-Sunset Glow,377605_01
1.0,Puma Black-Puma Team Gold,377040_01
1.0,Puma White-Blue Wash-Puma Black,377292_01
1.0,PUMA Black-Ravish-Fresh Pear,377978_04
1.0,Puma White-Dusty Aqua,376169_05
1.0,Carnation Pink-Marshmallow,376194_05
,"Wood Violet-PUMA Gold-PUMA White
: Sold Out",377311_04
,"Puma Black-Sunset Pink-Fizzy Apple
: Sold Out",376969_02
4.0,PUMA Black-Pinktastic,376211_13
6.0,PUMA Black-PUMA Gold,195235_20
6.0,Icy Blue-PUMA Silver-Regal Blue,377316_07
5.0,Future Pink-Fire Orchid-PUMA White,378846_03
2.0,PUMA White-PUMA Black-Future Pink,378115_09
,"Warm White-PUMA Gold-Matte Puma Gold
: Sold Out",377672_05
1.0,Galaxy Pink-PUMA White,377672_10
1.0,PUMA Black-Rose Gold,377580_07
2.0,Future Pink-PUMA Black,377580_08
6.0,PUMA Black-Cool Dark Gray,377861_01
6.0,Light Aqua-PUMA White,378318_02
5.0,Eucalyptus-Alpine Snow-PUMA Black,377746_04
2.0,Icy Blue-Regal Blue,377045_12
6.0,PUMA Black-Purple Pop-Yellow Burst,377508_04
6.0,Koral Ice-Speed Green,378469_01
6.0,PUMA Black-PUMA White,379085_02
6.0,PUMA Black-Fire Orchid,376262_19
6.0,Fire Orchid-Ultra Blue,376262_21
6.0,Frosty Pink-Koral Ice-Speed Green,377316_08
6.0,Ash Gray-PUMA White-Yellow Burst-Vivid Violet,377540_05
6.0,Silver Sky-PUMA Black-Fire Orchid,107565_01
5.0,PUMA Black-Koral Ice-Speed Green-PUMA Silver,378482_01
6.0,Icy Blue-Fire Orchid-PUMA White,377904_07
1.0,PUMA Black-Purple Pop-PUMA Silver-PUMA White,377891_09
4.0,Spring Lavender-Vivid Violet-PUMA White,379022_07
5.0,Gray Tile-Pearl Pink-PUMA White,377151_07
