Count_of_sizes,Name_ of_colors,Product_code
11.0,Medium Olive/White/Sequoia/High Voltage,DA1352-200
8.0,Black/Anthracite/White,DR6965-001
12.0,White/Black,DV1403-110
8.0,Black/Anthracite/Fireberry/Fireberry,DM3414-008
1.0,White/Grey Fog/White,CT1268-100
11.0,White/Black,DO1344-101
11.0,Summit White/Phantom/White/Fierce Pink,DX3705-101
12.0,Black/Deep Jungle/Lime Blast/Geode Teal,DV4022-008
15.0,University Red/Gym Red/Pure Platinum,DZ2617-600
13.0,Anthracite/Industrial Blue/White/Metallic Silver,FV0380-001
3.0,Black/Black/White/White,DV5469-001
10.0,Pale Ivory/Sail/Gum Light Brown/Deep Royal Blue,FQ8108-110
7.0,Black/Dark Smoke Grey/Cool Grey/White,DC3729-003
10.0,Midnight Navy/White,DZ2795-400
7.0,Summit White/Wolf Grey/White/Plum Eclipse,FB8916-100
10.0,Black/White/Black,DJ1196-002
7.0,Black/Black/Varsity Red/White,FV0393-001
13.0,Sea Glass/University Red/White/Blue Joy,DD0204-009
11.0,Black/White,FN0881-001
,Safety Orange/Safety Orange,DX5575-800
12.0,Black/Anthracite/Volt/White,CT2405-001
10.0,Bordeaux/Vivid Purple/Volt/Black,DZ2537-603
13.0,Black/Volt/Black/White,DV7775-001
13.0,Phantom/Black/Dark Russet/Phantom,FB8894-002
11.0,Medium Olive/White/Sequoia/High Voltage,DA1352-200
8.0,Black/Anthracite/White,DR6965-001
12.0,White/Black,DV1403-110
8.0,Black/Anthracite/Fireberry/Fireberry,DM3414-008
1.0,White/Grey Fog/White,CT1268-100
11.0,White/Black,DO1344-101
11.0,Summit White/Phantom/White/Fierce Pink,DX3705-101
12.0,Black/Deep Jungle/Lime Blast/Geode Teal,DV4022-008
15.0,University Red/Gym Red/Pure Platinum,DZ2617-600
13.0,Anthracite/Industrial Blue/White/Metallic Silver,FV0380-001
3.0,Black/Black/White/White,DV5469-001
10.0,Pale Ivory/Sail/Gum Light Brown/Deep Royal Blue,FQ8108-110
7.0,Black/Dark Smoke Grey/Cool Grey/White,DC3729-003
10.0,Midnight Navy/White,DZ2795-400
7.0,Summit White/Wolf Grey/White/Plum Eclipse,FB8916-100
10.0,Black/White/Black,DJ1196-002
13.0,Wolf Grey/Cool Grey/University Red/Black,DX3666-004
11.0,Racer Blue/Safety Orange/White,DC8749-401
6.0,Summit White/Football Grey/Sail/Wolf Grey,DQ8031-102
9.0,Luminous Green/Sea Glass/Lime Blast/White,DM0824-301
11.0,Black/Racer Blue/Sundial/White,DJ7883-003
6.0,Black/Siren Red/Racer Blue/Vivid Sulphur,FN5714-001
13.0,Black/Black/Black/Anthracite,DV7903-002
13.0,Sesame/Buff Gold/Bronzine/Lime Blast,DM3413-200
11.0,Black/Sail/Metallic Gold Grain,DN3559-003
1.0,Mica Green/Plum Eclipse/Amber Brown/Sequoia,DH0625-301
8.0,Black/Black/White,FN7993-003
13.0,Black/Black/Oatmeal/Metallic Gold Grain,DV4129-001
9.0,Buff Gold/Sesame/Gum Medium Brown/Hemp,FB8451-700
5.0,Black/White/Metallic Silver,AO3622-002
11.0,Sand Drift/Sand Drift/Sail,DV8405-102
12.0,White/Pure Platinum/Football Grey/University Red,DH3394-100
,Black/White/Black,DM0573-002
,,
8.0,Anthracite/Black/White/Metallic Gold,DV4023-005
12.0,Pilgrim/Pilgrim/White/Black,DM3494-301
13.0,Black/Deep Jungle/Clear Jade/Multi-Colour,FD6692-001
9.0,Geode Teal/Deep Jungle/Seafoam/Black,FN3863-300
8.0,Black/Dark Smoke Grey/White,FN7996-001
,White/Varsity Red/Jetstream/Anthracite,DR5753-106
13.0,Wolf Grey/Cool Grey/University Red/Black,DX3666-004
11.0,Racer Blue/Safety Orange/White,DC8749-401
6.0,Summit White/Football Grey/Sail/Wolf Grey,DQ8031-102
9.0,Luminous Green/Sea Glass/Lime Blast/White,DM0824-301
12.0,Anthracite/Volt/Pure Platinum/White,DJ7883-005
6.0,Black/Siren Red/Racer Blue/Vivid Sulphur,FN5714-001
13.0,Black/Black/Black/Anthracite,DV7903-002
13.0,Sesame/Buff Gold/Bronzine/Lime Blast,DM3413-200
11.0,Black/Sail/Metallic Gold Grain,DN3559-003
1.0,Mica Green/Plum Eclipse/Amber Brown/Sequoia,DH0625-301
8.0,Black/Black/White,FN7993-003
13.0,Black/Black/Oatmeal/Metallic Gold Grain,DV4129-001
9.0,Buff Gold/Sesame/Gum Medium Brown/Hemp,FB8451-700
5.0,Black/White/Metallic Silver,AO3622-002
11.0,Sand Drift/Sand Drift/Sail,DV8405-102
12.0,White/Pure Platinum/Football Grey/University Red,DH3394-100
,Black/White/Black,DM0573-002
,,
8.0,Anthracite/Black/White/Metallic Gold,DV4023-005
12.0,Pilgrim/Pilgrim/White/Black,DM3494-301
13.0,Black/Deep Jungle/Clear Jade/Multi-Colour,FD6692-001
9.0,Geode Teal/Deep Jungle/Seafoam/Black,FN3863-300
8.0,Black/Dark Smoke Grey/White,FN7996-001
,White/Varsity Red/Jetstream/Anthracite,DR5753-106
17.0,White/Black/Sail/Mystic Red,FB1362-102
13.0,Photon Dust/Cool Grey/Noise Aqua/White,FB9660-001
13.0,Cedar/Team Red/Lime Blast/White,DV3276-600
8.0,Summit White/Sail/Photon Dust/Phantom,FB5059-100
,,
13.0,Metallic Gold/Black/White/Varsity Red,DM0028-700
11.0,Deep Jungle/Bronzine/Cedar/Black,DH0531-300
13.0,Black/Light Smoke Grey/Laser Blue/Laser Blue,DR0453-002
5.0,Red Stardust/Adobe,FJ6042-600
6.0,Black/Metallic Gold,DC2190-001
13.0,White/White/White,DC3728-102
12.0,Light Stone/Stone/Light Bone/Black,DZ7273-100
13.0,Wolf Grey/Smoke Grey/Black/Volt,DC8185-010
7.0,Light Cream/Saturn Gold/Coconut Milk/Speed Yellow,DH7546-200
12.0,Summit White/Sail/Black,FB1374-101
12.0,Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange,DH0623-500
9.0,White/Sea Glass/Luminous Green/Lime Blast,DR5720-105
13.0,Light Orewood Brown/White/Khaki/Light Bone,DV2436-101
,Deep Green/Safety Orange,DM1683-200
9.0,Black/White/Metallic Gold,FZ6829-002
5.0,Sky J Purple/Sky J Purple,DX6405-500
5.0,Sequoia/Light Orewood Brown/Sequoia,DZ2538-300
11.0,White/Fireberry/Fierce Pink,FJ2986-100
13.0,Black/Anthracite/Black,FQ8732-010
17.0,White/Black/Sail/Mystic Red,FB1362-102
13.0,Photon Dust/Cool Grey/Noise Aqua/White,FB9660-001
13.0,Cedar/Team Red/Lime Blast/White,DV3276-600
8.0,Summit White/Sail/Photon Dust/Phantom,FB5059-100
,,
13.0,Metallic Gold/Black/White/Varsity Red,DM0028-700
11.0,Deep Jungle/Bronzine/Cedar/Black,DH0531-300
13.0,Black/Light Smoke Grey/Laser Blue/Laser Blue,DR0453-002
5.0,Red Stardust/Adobe,FJ6042-600
6.0,Black/Metallic Gold,DC2190-001
13.0,White/White/White,DC3728-102
12.0,Light Stone/Stone/Light Bone/Black,DZ7273-100
13.0,Wolf Grey/Smoke Grey/Black/Volt,DC8185-010
7.0,Light Cream/Saturn Gold/Coconut Milk/Speed Yellow,DH7546-200
12.0,Summit White/Sail/Black,FB1374-101
12.0,Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange,DH0623-500
9.0,White/Sea Glass/Luminous Green/Lime Blast,DR5720-105
13.0,Light Orewood Brown/White/Khaki/Light Bone,DV2436-101
,Deep Green/Safety Orange,DM1683-200
9.0,Black/White/Metallic Gold,FZ6829-002
5.0,Sky J Purple/Sky J Purple,DX6405-500
5.0,Sequoia/Light Orewood Brown/Sequoia,DZ2538-300
11.0,White/Fireberry/Fierce Pink,FJ2986-100
13.0,Black/Anthracite/Black,FQ8732-010
5.0,Black/Black/White,CN9678-006
15.0,White/Light Orewood Brown/Sail/Diffused Blue,DM7590-104
12.0,White/Blue Joy/Metallic Silver,FV0949-100
6.0,Black/Black/Phantom,DM8598-002
6.0,White/Chile Red/Coconut Milk/Black,FD6556-100
5.0,Mica Green/Emerald Rise/Amber Brown/Sequoia,DM0821-301
8.0,Pale Ivory/Neutral Olive/Luminous Green/Black,DO7626-100
9.0,White/White/Tour Yellow,AH7860-107
13.0,Black/White/Lucky Green,DZ5485-031
13.0,Team Red/Team Red/White,DV2018-600
11.0,Pink Oxford/Black/White/Summit White,CK2948-601
12.0,White/Bright Crimson/Black,CU4826-100
9.0,Black/White/Black,919712-001
8.0,Teal Nebula/Laser Orange/Earth/White,FN4268-300
13.0,Black/Deep Jungle/Night Maroon/Sea Glass,DR2686-004
8.0,Hemp/Light Orewood Brown/Phantom/Light Bone,FQ8145-200
4.0,Black/White,DC1458-001
16.0,Black/Dark Grey/Wolf Grey/Aura,DJ6158-001
12.0,Plum Eclipse/Coconut Milk/Gum Medium Brown/Sail,DX2931-200
13.0,White/Chile Red/Coconut Milk/Black,FJ0668-100
6.0,White/White,CW2289-111
13.0,White/Team Red/Lime Blast,DR6191-104
,White/Phantom/Total Orange/Black,FD8357-100
5.0,Sequoia/Emerald Rise/Guava Ice/Amber Brown,DR2694-300
10.0,Red Stardust/White/Sail/Metallic Copper,FB9892-670
9.0,Phantom/Light Bone/Atmosphere/Summit White,DM8261-001
13.0,Sea Glass/Total Orange/Blue Tint/Purple Ink,DJ7926-004
16.0,Medium Olive/Cargo Khaki/Burgundy Crush/Neutral Olive,FD5810-200
13.0,Black/Sail/Metallic Gold Grain,DM8968-002
5.0,Metallic Red Bronze/White/White,CN9677-900
15.0,Black/Anthracite/Pink Foam/Summit White,FB9647-001
8.0,Obsidian/Smoke Grey/Ashen Slate,DC1460-400
13.0,Black/Fireberry/Metallic Gold,FB7151-001
,,
13.0,Deep Jungle/Geode Teal/Total Orange/Black,FB2204-300
9.0,Sail/Light Orewood Brown/Gum Medium Brown/Campfire Orange,FQ8106-133
8.0,White/Light Neutral Grey/University Red,DO9844-100
16.0,Black/White,FQ4112-001
,,
15.0,White/Black/Sail/Game Royal,DX4397-104
,,
8.0,Fierce Pink/Pink Blast/Fireberry,DR2660-602
1.0,Black/White/White/White,864349-002
10.0,Light Orewood Brown/Sail/Black/Metallic Gold,FD0555-100
9.0,Hemp/Bronzine/Deep Jungle/Sea Glass,FB8456-200
8.0,Black/Barely Volt/White/Metallic Red Bronze,DJ6257-001
12.0,Photon Dust/Cool Grey/University Gold/White,DM0011-010
9.0,White/White/Metallic Silver,DV5695-100
11.0,White/Wolf Grey/Light Orewood Brown/Light Lemon Twist,FB7582-100
15.0,Black/Smoke Grey/White,DX9028-010
12.0,Black/Deep Royal/White/White,FB2394-001
9.0,Mineral/Plum Eclipse/Amber Brown/Sequoia,DR2689-301
1.0,Black/Varsity Red/White,DQ7687-003
11.0,White/White/White,DD9625-100
13.0,Black/Black/Off-Noir,DR2677-001
7.0,Summit White/Phantom/Pale Vanilla/Sand Drift,FB5060-100
11.0,White/Pure Platinum/Black,CD5432-101
10.0,Blue Tint/Blue Tint/Blue Tint,DZ2786-400
8.0,Deep Jungle/Black/Pure Platinum/Metallic Silver,DJ7383-301
12.0,Summit White/Wolf Grey/White/University Blue,CW4554-116
9.0,Summit White/Bright Crimson/Fierce Pink/Black,FN0784-102
1.0,Light Soft Pink/White/Shimmer,DX0113-600
4.0,White/Black,DJ2518-100
10.0,Black/Deep Jungle/Purple Ink/Night Maroon,DM0822-006
8.0,Black/Black/Anthracite,FB1948-001
12.0,University Red/Black/White/White,DM3493-606
18.0,Black Forest/Del Sol/White,FN4442-300
1.0,White/White/Pure Platinum,DH0223-100
8.0,Black/White,DV2019-001
7.0,Black/White/Sail/Game Royal,FB9891-041
13.0,Medium Ash/Bronzine/Black/Blue Tint,FB9619-200
9.0,Black/White/Clear/White,DM0879-001
9.0,Brown/Coconut Milk/Black/Sail,DV7006-200
15.0,Black/University Red/White/Metallic Silver,FN4182-001
,White/Sonic Yellow/Total Orange,FZ3507-100
11.0,Black/Black/Anthracite/Black,DQ5601-003
10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7155-001
10.0,Anthracite/Off-Noir/Smoke Grey/Black,FJ1409-001
5.0,Black/Black/White,DJ6607-001
7.0,Fireberry/Multi-Colour/Fierce Pink/Metallic Red Bronze,FB7065-600
3.0,Brown/Brown,DQ8992-200
8.0,White/Sundial/Clear Jade,DX4260-100
,White/Phantom/Total Orange/Black,FD8356-100
13.0,Racer Blue/Safety Orange/Lime Blast/White,CD4385-400
7.0,Black/Dark Grey/White,FN0880-001
13.0,Black/Anthracite/Flat Gold/Metallic Gold,FQ8733-010
13.0,White/Wolf Grey/Black/Volt,FD2291-100
14.0,White/White/White/Team Gold,DV0833-100
9.0,Black/Black/Black/Anthracite,DJ4702-002
13.0,Black/Metallic Silver/Deep Jungle/Metallic Silver,FD6691-001
16.0,Oil Green/Phantom/Light Bone/Malachite,FJ7098-301
9.0,Black/Aquatone/Bright Concord,CT8529-004
12.0,Photon Dust/White/Wolf Grey/Black,DR2695-005
10.0,Amarillo/White/Black/Orange,FN5107-700
5.0,White/Pure Platinum/White,DM2362-100
12.0,Summit White/Volt/Blue Tint/Racer Blue,DH8010-102
13.0,Black/Deep Jungle/Clear Jade II/Multi-Colour,FD6693-001
13.0,Deep Jungle/Purple Ink/Black/Geode Teal,DD9284-301
10.0,Black/Black/Summit White/Summit White,FV3642-010
12.0,Black/Black/White/White,DV7896-001
14.0,Photon Dust/White/Metallic Silver,FD6719-001
13.0,University Gold/University Gold/White/Game Royal,FD0269-700
13.0,Light Smoke Grey/White/Signal Blue/Black,FN2152-001
2.0,White/Pure Platinum/White,DN1338-100
8.0,Khaki/Light Bone/Gum Medium Brown/Sail,DZ1844-200
11.0,Sail/Light Orewood Brown/Phantom/Deep Royal Blue,FQ8048-133
