Brand,Name,Category,Colors,Price,Sizes,Count_Sizes,Color_Name,product_Code,Review,Rating,Features,Comfort
Skechers,Skechers Slip-ins: Ultra Flex 3.0 - Brilliant,WOMEN'S,3,"7,499.00","['6', '7']",2,GREY,149710-GRY,964,4.7,"Skechers Hands Free Slip-ins™ for an easy fit
Unique Comfort Pillow™ design in the heel adds pleasure with every step
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials","TOUCHLESS FIT™ Step into effortless comfort with Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Brilliant Path. Designed with a unique Comfort Pillow™ in the heel. This style features a Stretch Fit® engineered knit upper with deco laces, plus a cushioned Skechers Air-Cooled Memory Foam® insole."
Skechers,Uno - Rolling Stones Single,WOMEN'S,1,"8,999.00","['7', '8']",2,WHITE/RED,177965-WRD,18,4.9,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible clear airbag midsole",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Get ready to rock out in style and comfort wearing Skechers Street™ x The Rolling Stones: Uno - Rolling Stones Single! This lace-up features The Rolling Stones' 'Lick' logo on a synthetic durabuck upper with perforated details. This design is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and a translucent Skech-Air® airbag midsole.
Skechers,GO RUN PERSISTENCE,WOMEN'S,4,"9,999.00","['6', '7', '8', '9', '10']",5,TEAL,172053-TEAL,3,5,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole."
Skechers,GO RUN PERSISTENCE,WOMEN'S,4,"9,999.00","['6', '7', '8', '9']",4,MMAUVE,172053-MVE,3,5,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole."
Skechers,GO RUN PERSISTENCE,WOMEN'S,4,"9,999.00","['6', '7', '8', '9', '10']",5,GRAY/PINK,172053-GYPK,3,5,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole."
Skechers,JEN STARK: UNO - INFINITE DRIP,WOMEN'S,2,"8,499.00","['7', '8']",2,BLACK/WHITE,177960-BKW,26,4.2,"Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole."
Skechers,JEN STARK: UNO - INFINITE DRIP,WOMEN'S,2,"8,499.00","['7', '8']",2,BLACK/WHITE,177960-BKW,26,4.2,"Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole."
Skechers,Rolling Stones: Uno - Say It Loud,WOMEN'S,1,"8,999.00","['7', '8']",2,BLACK/RED,177964-BKRD,9,5,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® translucent airbag midsole",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Get ready to rock out in style and comfort wearing Skechers Street™ x The Rolling Stones: Uno - Say It Loud. This lace-up features The Rolling Stones' 'Lick' logo allover print on a synthetic durabuck upper with perforated details. This design is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and a translucent Skech-Air® airbag midsole.
Skechers,JEN STARK: UNO - INFINITE DRIP,WOMEN'S,2,"8,499.00","['7', '8']",2,MULTI,177960-MLT,26,4.2,"Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole."
Skechers,Rolling Stones: Roadies Surge - Lick & Lyrics,WOMEN'S,1,"7,999.00","['6', '7']",2,BLACK/RED,177967-BKRD,6,5,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Printed laces with famous lyrics from The Rolling Stones
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Responsive, lightweight Dual-Lite® cushioning
Crafted with 100% vegan materials",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Step out with the greatest Licks wearing Skechers Street™ x The Rolling Stones: Roadies Surge. This fashion high-top features The Rolling Stones' 'Lick' logo on a canvas upper with a synthetic rubber toecap and double laces printed with legendary lyrics from The Rolling Stones. This style is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and our classic lug sole
Skechers,Vapor Foam - True Classic,WOMEN'S,2,"5,999.00","['6', '7']",2,PLUM,150020-PLUM,3,5,"Ultra-lightweight Vapor Foam™ cushioning
Skechers Air-Cooled Memory Foam® comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials","Experience total comfort and sleek lightweight style wearing Skechers Vapor Foam™ - True Classic. This laceless design features a Stretch Fit® engineered knit upper with a cushioned Skechers Air-Cooled Memory Foam® insole, plus a super lightweight Vapor Foam™ midsole."
Skechers,Vapor Foam - True Classic,WOMEN'S,2,"5,999.00","['6', '7', '8']",3,NNNAVY,150020-NVY,3,5,"Ultra-lightweight Vapor Foam™ cushioning
Skechers Air-Cooled Memory Foam® comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials","Experience total comfort and sleek lightweight style wearing Skechers Vapor Foam™ - True Classic. This laceless design features a Stretch Fit® engineered knit upper with a cushioned Skechers Air-Cooled Memory Foam® insole, plus a super lightweight Vapor Foam™ midsole."
Skechers,POWER - FLEETZ,WOMEN'S,2,"9,999.00","['6', '7', '8', '9', '10']",5,NAVY/BLUE,130008-NVBL,26,4.5,"Soft woven athletic engineered knit mesh fabric upper
Lace up front neutral, maximum cushioned running shoe design
Haptic-style tonal synthetic hot melt chevron overlays on side panels
Side S logo
Heel fabric overlay panel with top pull-on loop
Reinforced lace up front
Soft padded collar and tongue for supreme comfort
Natural expansion provides a comfortable, natural fit","Add more response and cushion to your run with the Skechers GOrun Power™. Features lightweight, responsive ULTRA FLIGHT™ cushioning for maximum comfort. Lace up neutral cushioned running shoe design with Goodyear® Rubber outsole pillars."
Skechers,POWER - FLEETZ,WOMEN'S,2,"9,999.00","['6', '7', '8', '9', '10']",5,BLACK/PURPLE,130008-BKPR,26,4.5,"Soft woven athletic engineered knit mesh fabric upper
Lace up front neutral, maximum cushioned running shoe design
Haptic-style tonal synthetic hot melt chevron overlays on side panels
Side S logo
Heel fabric overlay panel with top pull-on loop
Reinforced lace up front
Soft padded collar and tongue for supreme comfort
Natural expansion provides a comfortable, natural fit","Add more response and cushion to your run with the Skechers GOrun Power™. Features lightweight, responsive ULTRA FLIGHT™ cushioning for maximum comfort. Lace up neutral cushioned running shoe design with Goodyear® Rubber outsole pillars."
Skechers,GO RUN PURE 3,WOMEN'S,4,"7,999.00","['5', '6', '7', '8', '9', '10']",6,PPINK,172034-PNK,14,4.9,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability","Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole."
Skechers,GO RUN PURE 3,WOMEN'S,4,"7,999.00","['5', '6', '7', '8', '9', '10']",6,SLATE,172034-SLT,14,4.9,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability","Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole."
Skechers,GO RUN PURE 3,WOMEN'S,4,"6,749.00",['6'],1,TEAL,172034-TEAL,14,4.9,"Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability","Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole."
Skechers,UNO - SPREAD THE LOVE,WOMEN'S,4,"7,999.00","['6', '7', '8', '9', '10']",5,WHITE,155507-WRNV,72,4.6,"From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole."
Skechers,UNO - SPREAD THE LOVE,WOMEN'S,4,"5,999.00","['6', '7']",2,WHITE/RED/PINK,155507-WRPK,72,4.6,"From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole."
Skechers,UNO - SPREAD THE LOVE,WOMEN'S,4,"7,999.00","['6', '7']",2,LLLIGHT PINK,155507-LTPK,72,4.6,"From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole."
Skechers,UNO - STAND ON AIR,WOMEN'S,13,"6,999.00","['6', '7', '8']",3,RUST,73690-RST,1610,4.3,"Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole."
Skechers,UNO - STAND ON AIR,WOMEN'S,13,"5,499.00",[],0,PURPLE,73690-PUR,1610,4.3,"Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole."
Skechers,UNO - STAND ON AIR,WOMEN'S,13,"5,999.00",[],0,MMAUVE,73690-MVE,1610,4.3,"Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole."
