Count_of_sizes,Name_ of_colors,Product_code
7.0,SNAYPE,FGC015050141A
2.0,NAVY,FGC0H9019241A
,,FGC0CG043671A
7.0,BLACK,FGC0AY050211A
4.0,CASHEW BROWN,FGC0GF0R8101Z
7.0,OLIVE GREEN,FGC0L4023181A
5.0,KHAKI,FGC051044842A
1.0,DNAVY,FGC090042591A
2.0,DUBAI KHAKI,FGC0L5034741A
6.0,DNAVY,FGC0GF0R7561Z
0.0,DBROWN,FGC0B3033201A
3.0,BLACK,FGC018008631G
5.0,TOBACCO,FGC051032831A
6.0,DNAVY,FGC015024041A
5.0,SKY BLUE,FGC0H9028061B
6.0,CAMEL,FGC0L4035541A
6.0,RED BROWN,FGC0AY032581A
6.0,RUST BROWN,FGC0H9028051A
0.0,BROWN,FGC0L4018681A
5.0,CAMEL,FGC051039531A
5.0,KHAKI,FGC0AA027551A
4.0,DROYAL BLUE,FGC0M6032201A
2.0,DNAVY,FGC0V70R8141Z
6.0,CAMEL,FGC0L4056111G
2.0,DUBAI KHAKI,FGC0H9025671E
6.0,DUBAI KHAKI,FGC090040561A
6.0,KHAKI,FGC0510T8792A
1.0,WHITE,FGC0B3025101A
5.0,OLIVE GREEN,FGC0E4005721F
4.0,CAMEL,FGC015056101G
3.0,BLACK,FGC0AJ024801B
6.0,BROWN,FGC0L4005721F
5.0,BROWN,FGC0CO030341A
2.0,CAMEL,FGC0T8018691A
7.0,NAVY,FGC0V2025181A
5.0,DENIM,FGC0Q9012542A
6.0,TURMERIC,FGC051030301A
,,FGC031042142A
5.0,OLIVE GREEN,FGC0L40R7641Z
2.0,RUST BROWN,FGC0B3025181A
1.0,CAMEL,FGC0J0014631A
4.0,DBLUE,FGC089025141A
4.0,KHAKI,FGC081043472A
6.0,DBROWN,FGC0AR024531A
3.0,NAVY,FGC031042052A
2.0,OLIVE GREEN,FGC0X6024541A
5.0,BLACK,FGC051024631A
6.0,GREY,FGC0150T7072A
5.0,PARIS JEANSBLUE,FGC051030141A
0.0,OLIVE GREEN,FGC0900R8081Z
0.0,OLIVE,FGC0GF0R7401Z
5.0,CAMEL,FGC015027551A
5.0,CAMEL,FGC015017591A
6.0,BLACK,FGC051028651A
6.0,NAVY,FGC031044502A
2.0,KHAKI,FGC0G2028661A
3.0,DNAVY,FGC051035891A
4.0,NAVY,FGC031042102A
5.0,CAMEL,FGC051043251A
