Brand,Shoename,Category,No.Of_colors,Price
Adidas,RUN 50S SHOES,Unisex,5.0,3 999.00
Adidas,GAZELLE 85 SHOES,Unisex,,12 999.00
Adidas,DURAMO SL SHOES,Men,4.0,6 599.00
Adidas,X_PLRBOOST SHOES,Women,4.0,13 499.50
Adidas,ULTRABOOST 1.0 MARIMEKKO SHOES,Women,,13 299.50
Adidas,ADILETTE ADVENTURE SANDALS,Women,3.0,4 499.50
Adidas,RESPONSE SHOES,Men,9.0,7 599.00
Adidas,ULTRABOOST LIGHT GTX SHOES,Women,,21 999.00
Adidas,ADIZERO RC 5 SHOES,Unisex,2.0,9 999.00
Adidas,ULTRABOOST LIGHT SHOES,Women,8.0,18 999.00
Adidas,ALPHABOUNCE SLIDES,Unisex,2.0,2 759.50
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,4 899.50
Adidas,VELOSAMBA COLD.RDY CYCLING SHOES,Unisex,,14 999.00
Adidas,ADILETTE BOOST SLIDES,Unisex,4.0,4 949.50
Adidas,X_PLRBOOST SHOES,Women,,13 499.50
Adidas,ULTRABOOST LIGHT,Women,3.0,19 999.00
Adidas,Y-3 GAZELLE,Unisex,,29 999.00
Adidas,ORKETRO SHOES,,,13 999.00
Adidas,ADILETTE COMFORT SLIDES,Unisex,,3 999.00
Adidas,X_PLRBOOST SHOES,Men,2.0,13 499.50
Adidas,ADVANTAGE BASE COURT LIFESTYLE SHOES,Men,2.0,4 619.50
Adidas,ADIDAS BY STELLA MCCARTNEY SPORTSWEAR SHOE,Unisex,3.0,27 999.00
Adidas,GRAND COURT TD LIFESTYLE COURT CASUAL SHOES,Men,3.0,4 949.50
Adidas,SUPERSTAR LUX SHOES,Unisex,4.0,14 999.00
Adidas,X_PLR BOOST SHOES,Men,2.0,12 599.50
Adidas,RIVALRY 86 LOW 003 SHOES,Men,2.0,11 999.00
Adidas,SUPERNOVA 3 RUNNING SHOES,Men,10.0,9 999.00
Adidas,SUPERSTAR XLG SHOES,Unisex,3.0,11 999.00
Adidas,GAZELLE 85 SHOES,Men,,12 999.00
Adidas,ADILETTE COMFORT ADJUSTABLE BANDAGE SLIDES,Unisex,2.0,3 999.00
Adidas,SAMBA SHOES,Men,7.0,14 999.00
Adidas,Y-3 SUPERSTAR,Unisex,2.0,29 999.00
Adidas,HEAWYN SHOES,Men,3.0,6 999.50
Adidas,CORERACER SHOES,Women,3.0,5 599.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,WALKPAL SHOES,Men,2.0,4 799.00
Adidas,SAMBA SHOES,Men,7.0,14 999.00
Adidas,SAMBA SHOES,Men,7.0,14 999.00
Adidas,GRAND COURT CLOUDFOAM COMFORT SHOES,Men,4.0,7 999.00
Adidas,LIGRA 7 SHOES,Men,3.0,6 599.00
Adidas,OSADE SHOES,Unisex,,9 999.00
Adidas,ULTRABOOST 1.0 SHOES,Women,2.0,19 999.00
Adidas,SUPERSTAR SHOES,Unisex,,11 999.00
Adidas,SUPERSTAR XLG SHOES,Unisex,3.0,11 999.00
Adidas,NIZZA RF SHOES,Unisex,2.0,7 999.00
Adidas,AVRYN SHOES,Unisex,6.0,13 999.00
Adidas,GRAND COURT TD LIFESTYLE COURT CASUAL SHOES,Men,5.0,6 599.00
Adidas,Y-3 GAZELLE,Unisex,2.0,29 999.00
Adidas,FLODEAN SHOES,Men,3.0,3 299.00
Adidas,ULTIMASHOW SHOES,Men,4.0,3 919.50
Adidas,TREZIOD PT SHOES,Men,2.0,17 999.00
Adidas,ADICANE CLOGS,Unisex,2.0,4 999.00
Adidas,ALPHABOOST V1 SHOES,Men,7.0,11 999.00
Adidas,FORUM LOW SHOES,Men,,9 999.00
Adidas,AVRYN SHOES,Unisex,5.0,10 499.50
Adidas,SUPERSTAR XLG SHOES,Unisex,4.0,11 999.00
Adidas,LITE RACER 3.0 SHOES,Men,5.0,3 499.50
Adidas,SUPERNOVA 3 RUNNING SHOES,Men,7.0,6 999.50
Adidas,OZELLE CLOUDFOAM SHOES,Men,5.0,6 999.50
Adidas,Y-3 GAZELLE,Unisex,2.0,29 999.00
Adidas,ELATE SHOES,Men,2.0,2 249.50
Adidas,COURT SHOES,Men,4.0,5 599.00
Adidas,AVRYN SHOES,Unisex,2.0,13 999.00
Adidas,FLEXPACE SHOES,Men,2.0,3 799.00
Adidas,STAN SMITH RECON SHOES,Men,,16 999.00
Adidas,X_PLRBOOST SHOES,Men,2.0,13 499.50
Adidas,ADIZERO ADIOS 8 SHOES,Men,2.0,12 999.00
Adidas,Y-3 SUPERSTAR,Unisex,2.0,29 999.00
Adidas,LITE RACER ADAPT 6.0 SHOES,Men,5.0,6 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,ADIZERO UBERSONIC 4.1 TENNIS SHOES,Women,2.0,13 999.00
Adidas,ULTRABOOST 1.0 SHOES,Women,,19 999.00
Adidas,TREZIOD PT SHOES,Men,2.0,17 999.00
Adidas,HOOPS 3.0 MID CLASSIC VINTAGE SHOES,Unisex,3.0,6 999.00
Adidas,BRACE WALK SHOES,Men,4.0,5 999.00
Adidas,BARRICADE TENNIS SHOES,Men,3.0,14 999.00
Adidas,GAZELLE SHOES,Unisex,,10 999.00
Adidas,ULTRABOOST LIGHT,Men,3.0,19 999.00
Adidas,ULTRABOUNCE SHOES,Men,5.0,5 599.50
Adidas,4DFWD 3 RUNNING SHOES,Women,7.0,21 999.00
Adidas,ULTRABOOST LIGHT SHOES,Unisex,15.0,18 999.00
Adidas,CORERACER SHOES,Women,3.0,5 599.00
Adidas,OZWEEGO SHOES,Unisex,2.0,13 999.00
Adidas,GAZELLE 85 SHOES,Men,2.0,12 999.00
Adidas,SUPERSTAR XLG SHOES,Unisex,2.0,11 999.00
Adidas,STAN SMITH SHOES,Women,,8 999.00
Adidas,NMD_R1 SHOES,Men,2.0,14 999.00
Adidas,NEBZED CLOUDFOAM LIFESTYLE RUNNING SHOES,Women,,5 249.50
Adidas,Y-3 NIZZA HIGH,,,29 999.00
Adidas,ADILETTE COMFORT SLIDES,Unisex,3.0,3 999.00
Adidas,GAZELLE 85 SHOES,Men,2.0,12 999.00
Adidas,SUPERNOVA 3 RUNNING SHOES,Men,7.0,5 999.50
Adidas,SUPERSTAR 82 SHOES,Men,,14 999.00
Adidas,ADIDAS BY STELLA MCCARTNEY SPORTSWEAR SHOE,Unisex,3.0,27 999.00
Adidas,FLUIDFLOW 3.0 SHOES,Men,3.0,6 019.50
Adidas,X_PLR BOOST SHOES,Men,2.0,12 599.50
Adidas,TRISTO SHOES,Men,3.0,3 599.00
Adidas,GAZELLE SHOES,Men,3.0,9 999.00
Adidas,RACER TR23 SHOES,Men,5.0,5 599.50
Adidas,KAPTIR 3.0 SHOES,Men,,5 999.50
Adidas,NMD S1 RYAT Shoes,Unisex,,24 999.00
Adidas,ULTRABOUNCE SHOES,Men,11.0,7 999.00
Adidas,ADILETTE SHOWER SLIDES,Unisex,2.0,2 999.00
Adidas,SUPERSTAR BONEGA SHOES,,2.0,12 999.00
Adidas,ADIDAS TRX VINTAGE SHOES,Unisex,3.0,6 999.50
Adidas,OZELIA SHOES,Unisex,2.0,10 999.00
Adidas,FLUIDFLOW 3.0 SHOES,Men,3.0,6 019.50
Adidas,CYBERRUN SHOES,Men,3.0,3 009.50
Adidas,HALICON SHOES,Men,2.0,3 999.00
Adidas,SUPERNOVA 2.0 SHOES,Men,3.0,9 999.00
Adidas,FLUIDFLOW 3.0 SHOES,Men,3.0,6 019.50
Adidas,ULTIMASHOW SHOES,Women,5.0,3 919.50
Adidas,NMD_S1 SHOES,Unisex,2.0,19 999.00
Adidas,X_PLRBOOST SHOES,,5.0,17 999.00
Adidas,CRAZY 1 SHOES,,,15 999.00
Adidas,STABIL NEXT GEN SHOES,Men,3.0,15 999.00
Adidas,SUPERNOVA 3 RUNNING SHOES,Men,7.0,5 999.50
Adidas,ULTRABOOST LIGHT SHOES,Women,2.0,18 999.00
Adidas,RACER TR23 SHOES,Men,5.0,5 599.50
Adidas,RACER TR23 SHOES,Men,5.0,5 599.50
Adidas,QUESTAR SHOES,,2.0,5 599.50
Adidas,KAPTIR 3.0 SHOES,,4.0,5 599.50
Adidas,KAPTIR 3.0 SHOES,Men,4.0,5 599.50
Adidas,HANDBALL SPEZIAL SHOES,Men,2.0,9 999.00
Adidas,4DFWD 3 RUNNING SHOES,Men,9.0,21 999.00
Adidas,X_PLRPHASE SHOES,,2.0,8 249.50
Adidas,ULTRABOOST 1.0 SHOES,Unisex,2.0,17 999.00
Adidas,ORKETRO 2.0 SHOES,Men,2.0,15 999.00
Adidas,ORKETRO 2.0 SHOES,Men,2.0,15 999.00
Adidas,FORUM LOW SHOES,Men,,9 999.00
Adidas,STAN SMITH CS SHOES,Unisex,4.0,9 999.00
Adidas,X_PLRBOOST SHOES,,4.0,12 599.50
Adidas,SWIFT RUN SHOES,Men,3.0,7 499.50
Adidas,COURTBEAT COURT LIFESTYLE SHOES,,,6 999.00
Adidas,GAZELLE SHOES,Men,,10 999.00
Adidas,CALERON SHOES,Men,2.0,2 699.50
Adidas,SOLARGLIDE 6 SHOES,Men,5.0,8 399.50
Adidas,AVRYN SHOES,Unisex,3.0,10 499.50
Adidas,ULTIMASHOW SHOES,Men,6.0,5 599.00
Adidas,GALAXY STAR SHOES,Men,2.0,5 319.50
Adidas,GALAXY STAR SHOES,Men,2.0,5 319.50
Adidas,WALKANEW SHOES,Men,3.0,4 999.00
Adidas,SUPERSTAR XLG SHOES,Unisex,4.0,11 999.00
Adidas,TERREX AX4 HIKING SHOES,,3.0,11 999.00
Adidas,ULTRABOOST LIGHT SHOES,,15.0,18 999.00
Adidas,FLUIDFLOW 3.0 SHOES,Men,5.0,8 599.00
Adidas,PUREBOOST 22 SHOES,Women,2.0,8 999.50
Adidas,ADILETTE SHOWER SLIDES,Unisex,4.0,2 999.00
Adidas,ADILETTE SHOWER SLIDES,Unisex,2.0,2 999.00
Adidas,ADIZERO UBERSONIC 4.1 TENNIS SHOES,Women,2.0,13 999.00
Adidas,Y-3 NIZZA LOW,Unisex,,27 999.00
Adidas,ADIFOM TRXN SHOES,Unisex,4.0,10 999.00
Adidas,X_PLRBOOST SHOES,Women,,17 999.00
Adidas,TORSION RESPONSE TENNIS LOW SHOES,Unisex,,11 999.00
Adidas,ADILETTE COMFORT SLIDES,Unisex,3.0,3 999.00
Adidas,WALKWAGON SHOES,Men,3.0,4 999.00
Adidas,SWIFT RUN SHOES,,3.0,7 499.50
Adidas,ADIAXIS SHOES,Men,2.0,4 999.00
Adidas,WALKWAGON SHOES,Men,3.0,4 999.00
Adidas,ADI-SHAWT SPORT INSPIRED SHOES,Men,3.0,2 794.50
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,,7.0,4 899.50
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,4 899.50
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,4 899.50
Adidas,LITE RACER ADAPT 6.0 SHOES,Men,2.0,4 899.50
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,4 899.50
Adidas,ADIDAS RIVALRY HIGH SCRATCHY,Men,,13 999.00
Adidas,WALKWAGON SHOES,,3.0,4 999.00
Adidas,OZELLE CLOUDFOAM SHOES,Men,8.0,9 999.00
Adidas,FLODEAN SHOES,Men,,2 309.50
Adidas,PUREBOOST 23 SHOES,Men,3.0,9 099.50
Adidas,COURTJAM CONTROL TENNIS SHOES,Men,2.0,8 599.00
Adidas,WIDEWALK SHOES,Men,3.0,2 799.50
Adidas,RETROPY F2 SHOES,Men,2.0,7 499.50
Adidas,ADILETTE TND SLIDES,Unisex,3.0,2 849.50
Adidas,ULTRABOOST LIGHT SHOES,Women,,18 999.00
Adidas,LITE RACER ADAPT 4.0 CLOUDFOAM LIFESTYLE SLIP-ON SHOES,Men,2.0,6 999.00
Adidas,LITE RACER ADAPT 4.0 CLOUDFOAM SLIP-ON SHOES,Men,5.0,6 999.00
Adidas,GALAXY 6 SHOES,Men,9.0,5 999.00
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,4 899.50
Adidas,ADILETTE COMFORT SLIDES,Unisex,2.0,3 999.00
Adidas,ADISCEND SHOES,Men,,2 339.50
Adidas,COURT REVIVAL SHOES,Unisex,,9 999.00
Adidas,GAUZEWALK SHOES,Men,2.0,3 009.50
Adidas,RUNFALCON 3.0 SHOES,Men,9.0,6 599.00
Adidas,FABURUN SHOES,Men,3.0,4 619.50
Adidas,RUNNING MAGNIFICEO SHOES,Men,2.0,3 219.50
Adidas,FABURUN SHOES,Men,3.0,4 619.50
Adidas,ADILETTE COMFORT SLIDES,Unisex,2.0,3 999.00
Adidas,RUN 70S LIFESTYLE RUNNING SHOES,Men,7.0,5 249.50
Adidas,SUPERSTAR BONEGA 2B SHOES,Women,,12 999.00
Adidas,WALKANEW SHOES,Men,3.0,4 999.00
Adidas,ULTRABOUNCE SHOES,Men,5.0,5 999.50
